"Kategorie";"Schwierigkeit";"Frage";"Antwort"
"Alltagswissen";"Schwer";"Wie viele verschiedene Euro-Münzen gibt es?";8
"Alltagswissen";"Schwer";"Wie viele Jahre dauert eine ""Diamantene Hochzeit""?";60
"Alltagswissen";"Schwer";"Wie viele Millimeter hat ein Zoll?";25
"Alltagswissen";"Schwer";"Wie viele Quadrate hat ein Rubik's Cube?";54
"Alltagswissen";"Schwer";"Wie viele Jahre dauert eine ""Goldene Hochzeit""?";50
"Alltagswissen";"Schwer";"Wie viele Sekunden hat ein Tag?";86400
"Alltagswissen";"Schwer";"Wie viele Milliliter sind in einem Liter?";1000
"Alltagswissen";"Schwer";"Wie viele verschiedene Blutgruppen gibt es im AB0-System?";4
"Alltagswissen";"Schwer";"Wie viele Zähne hat ein Milchgebiss?";20
"Alltagswissen";"Schwer";"Wie viele Zeitzonen gibt es auf der Welt?";24
"Literatur & Bücher";"Leicht";"Wie viele Harry-Potter-Bücher gibt es?";7
"Literatur & Bücher";"Leicht";"Wie viele Zwerge begleiten Bilbo Beutlin in ""Der Hobbit""?";13
"Literatur & Bücher";"Leicht";"Wie viele Musketiere gibt es in Dumas' Roman?";3
"Literatur & Bücher";"Leicht";"Wie viele Teile hat die ""Tribute von Panem""-Trilogie?";3
"Literatur & Bücher";"Leicht";"Wie viele ""Die drei ??? ""-Detektive gibt es?";3
"Literatur & Bücher";"Leicht";"Wie viele Gesetze der Robotik gibt es bei Asimov?";3
"Literatur & Bücher";"Leicht";"Wie viele ""Chroniken von Narnia""-Bücher gibt es?";7
"Literatur & Bücher";"Leicht";"Wie viele ""Bände"" hat die Bibel?";2
"Literatur & Bücher";"Leicht";"Wie viele Akte hat ein klassisches Drama?";5
"Literatur & Bücher";"Mittel";"In welchem Jahr wurde Shakespeares ""Hamlet"" ungefähr zum ersten Mal aufgeführt?";1601
"Literatur & Bücher";"Mittel";"Wie viele Kreise der Hölle beschreibt Dante in seiner ""Göttlichen Komödie""?";9
"Literatur & Bücher";"Mittel";"Wie viele Seiten hat die deutsche Erstausgabe von ""Krieg und Frieden"" ungefähr?";2100
"Literatur & Bücher";"Mittel";"Wie viele ""Sherlock Holmes""-Romane hat Arthur Conan Doyle geschrieben?";4
"Literatur & Bücher";"Mittel";"Wie viele ""Narnia""-Bücher gibt es?";7
"Literatur & Bücher";"Mittel";"Wie viele ""Tintenwelt""-Bücher von Cornelia Funke gibt es?";3
"Literatur & Bücher";"Mittel";"Wie viele ""Die unendliche Geschichte""-Bücher von Michael Ende gibt es?";1
"Literatur & Bücher";"Mittel";"Wie viele Zeilen hat ein Sonett?";14
"Literatur & Bücher";"Mittel";"Wie viele ""Die Säulen der Erde""-Bücher von Ken Follett gibt es?";4
"Literatur & Bücher";"Schwer";"Wie viele Bände umfasst das ""Oxford English Dictionary"" in seiner vollständigen gedruckten Ausgabe?";20
"Literatur & Bücher";"Schwer";"Wie viele Zeilen hat Dantes ""Göttliche Komödie"" ungefähr?";14233
"Literatur & Bücher";"Schwer";"In welchem Jahr wurde der erste ""Duden"" veröffentlicht?";1880
"Literatur & Bücher";"Schwer";"Wie viele ""Asterix""-Bände wurden zu Lebzeiten von Goscinny veröffentlicht?";24
"Literatur & Bücher";"Schwer";"Wie viele Werke umfasst Balzacs ""Menschliche Komödie""?";91
"Literatur & Bücher";"Schwer";"Wie viele Romane hat Jane Austen veröffentlicht?";6
"Literatur & Bücher";"Schwer";"Wie viele ""Ulysses""-Kapitel von James Joyce gibt es?";18
"Literatur & Bücher";"Schwer";"Wie viele Jahre schrieb Goethe am ""Faust""?";60
"Essen & Trinken";"Leicht";"Wie viele Zutaten hat eine klassische Margarita Pizza?";3
"Essen & Trinken";"Leicht";"Wie viele Liter Wasser sollte man pro Tag ungefähr trinken?";2
"Essen & Trinken";"Leicht";"Wie viele Kammern hat der Magen einer Kuh?";4
"Essen & Trinken";"Leicht";"Wie viele Hauptzutaten hat ein Bienenstich-Kuchen?";5
"Essen & Trinken";"Leicht";"Wie viele Blätter hat ein Bund Petersilie ungefähr?";50
"Essen & Trinken";"Leicht";"Wie viele Gänge hat ein klassisches Menü?";3
"Essen & Trinken";"Leicht";"Wie viele Eier passen in einen Standard-Eierkarton?";10
"Essen & Trinken";"Leicht";"Wie viele Scheiben hat eine durchschnittliche Salami?";20
"Essen & Trinken";"Leicht";"Wie viele Sorten ""Haribo Goldbären"" gibt es?";6
"Essen & Trinken";"Mittel";"Wie viele verschiedene Biersorten gibt es in Deutschland ungefähr?";5000
"Essen & Trinken";"Mittel";"Wie viele Kalorien hat ein Big Mac ungefähr?";500
"Essen & Trinken";"Mittel";"Wie viele Scoville-Einheiten hat eine Jalapeño-Schote ungefähr?";5000
"Essen & Trinken";"Mittel";"Wie viele Kräuter sind in der ""Frankfurter Grünen Soße""?";7
"Essen & Trinken";"Mittel";"Wie viele Eigelb braucht man für eine klassische Carbonara für 4 Personen?";4
"Essen & Trinken";"Mittel";"Wie viele Vitamine gibt es?";13
"Essen & Trinken";"Mittel";"Wie viele Prozent Alkohol hat ein durchschnittliches Pils?";5
"Essen & Trinken";"Mittel";"Wie viele Tassen Kaffee trinkt ein Deutscher pro Jahr im Durchschnitt?";168
"Essen & Trinken";"Mittel";"Wie viele Zähne hat eine Knoblauchknolle ungefähr?";10
"Essen & Trinken";"Schwer";"Wie viele Kilo wiegt der schwerste Kürbis der Welt ungefähr?";1226
"Essen & Trinken";"Schwer";"In welchem Jahr wurde Coca-Cola erfunden?";1886
"Essen & Trinken";"Schwer";"Wie viele Michelin-Sterne kann ein Restaurant maximal erhalten?";3
"Essen & Trinken";"Schwer";"Wie viele Jahre reift ein Aceto Balsamico Tradizionale mindestens?";12
"Essen & Trinken";"Schwer";"Wie viele Kaffeesorten gibt es weltweit ungefähr?";120
"Essen & Trinken";"Schwer";"Wie viele Kilogramm wiegt der teuerste Käse der Welt (Pule)?";1000
"Essen & Trinken";"Schwer";"Wie viele Gewürze sind in der originalen Coca-Cola-Formel?";7
"Essen & Trinken";"Schwer";"Wie viele Liter Bier werden auf dem Oktoberfest pro Jahr ausgeschenkt (in Millionen)?";7
"Videospiele & Gaming";"Leicht";"Wie viele Leben hat Mario zu Beginn eines Spiels?";3
"Videospiele & Gaming";"Leicht";"Wie viele Blöcke breit ist ein Standard-Tetris-Feld?";10
"Videospiele & Gaming";"Leicht";"Wie viele ""Welten"" gibt es in Super Mario Bros.?";8
"Videospiele & Gaming";"Leicht";"Wie viele Spieler können an einer Nintendo Switch gleichzeitig spielen?";8
"Videospiele & Gaming";"Leicht";"Wie viele Tasten hat ein NES-Controller?";8
"Videospiele & Gaming";"Leicht";"Wie viele Geister gibt es in Pac-Man?";4
"Videospiele & Gaming";"Leicht";"Wie viele ""Sims""-Hauptspiele gibt es?";4
"Videospiele & Gaming";"Leicht";"Wie viele ""Fallout""-Hauptspiele gibt es?";5
"Videospiele & Gaming";"Leicht";"Wie viele ""Grand Theft Auto""-Hauptspiele gibt es?";5
"Videospiele & Gaming";"Mittel";"Wie viele Tasten hat ein klassischer PlayStation-Controller (ohne Sticks)?";14
"Videospiele & Gaming";"Mittel";"In welchem Jahr wurde das erste ""The Legend of Zelda"" veröffentlicht?";1986
"Videospiele & Gaming";"Mittel";"Wie viele ursprüngliche Pokémon gab es in der ersten Generation?";151
"Videospiele & Gaming";"Mittel";"Wie viele Charaktere gibt es in Super Smash Bros. Ultimate?";89
"Videospiele & Gaming";"Mittel";"In welchem Jahr kam die PlayStation 1 in Europa auf den Markt?";1995
"Videospiele & Gaming";"Mittel";"Wie viele ""Elder Scrolls""-Hauptspiele gibt es?";5
"Videospiele & Gaming";"Mittel";"Wie viele ""Civilization""-Hauptspiele gibt es?";6
"Videospiele & Gaming";"Mittel";"Wie viele ""Donkey Kong Country""-Spiele gab es auf dem SNES?";3
"Videospiele & Gaming";"Mittel";"Wie viele ""Street Fighter II""-Kämpfer gab es in der Originalversion?";8
"Videospiele & Gaming";"Schwer";"Wie viele Einheiten wurden von der PlayStation 2 verkauft (in Millionen)?";155
"Videospiele & Gaming";"Schwer";"Wie viele Zeilen Code hatte das ursprüngliche Pac-Man-Spiel ungefähr?";4000
"Videospiele & Gaming";"Schwer";"In welchem Jahr wurde Minecraft erstmals veröffentlicht?";2009
"Videospiele & Gaming";"Schwer";"Wie viele ""Achievements"" hat das Spiel ""World of Warcraft"" ungefähr?";3000
"Videospiele & Gaming";"Schwer";"Wie viele Dollar kostete das teuerste Videospiel in der Entwicklung (Star Citizen)?";500
"Videospiele & Gaming";"Schwer";"Wie viele ""Final Fantasy""-Hauptspiele gibt es?";16
"Videospiele & Gaming";"Schwer";"Wie viele ""Metal Gear Solid""-Hauptspiele gibt es?";5
"Videospiele & Gaming";"Schwer";"Wie viele ""Resident Evil""-Hauptspiele gibt es?";8
"Kunst & Kultur";"Leicht";"Wie viele Arme hat die Venus von Milo?";0
"Kunst & Kultur";"Leicht";"Wie viele Augen hat die Mona Lisa?";2
"Kunst & Kultur";"Leicht";"Wie viele Räder hat ein Einrad?";1
"Kunst & Kultur";"Leicht";"Wie viele Zwerge sind auf dem berühmten Bild von Spitzweg zu sehen?";1
"Kunst & Kultur";"Leicht";"Wie viele Türme hat der Kölner Dom?";2
"Kunst & Kultur";"Leicht";"Wie viele Wunder der Antike gibt es?";7
"Kunst & Kultur";"Leicht";"Wie viele Farben hat die deutsche Flagge?";3
"Kunst & Kultur";"Leicht";"Wie viele Beine hat der Tisch in Da Vincis ""Das letzte Abendmahl""?";4
"Kunst & Kultur";"Mittel";"Wie viele Sonnenblumen malte Van Gogh in seiner berühmten Serie?";12
"Kunst & Kultur";"Mittel";"In welchem Jahrhundert lebte Leonardo da Vinci?";15
"Kunst & Kultur";"Mittel";"Wie viele ""Denker""-Statuen von Rodin gibt es?";28
"Kunst & Kultur";"Mittel";"Wie viele Musen gibt es in der griechischen Mythologie?";9
"Kunst & Kultur";"Mittel";"Wie viele Akte hat eine klassische Oper?";3
"Kunst & Kultur";"Mittel";"Wie viele Jahre dauerte der Bau des Taj Mahal?";21
"Kunst & Kultur";"Mittel";"Wie viele Symphonien hat Mozart geschrieben?";41
"Kunst & Kultur";"Mittel";"Wie viele Bilder malte Picasso in seinem Leben ungefähr?";50000
"Kunst & Kultur";"Schwer";"Wie viele Figuren sind auf Rembrandts ""Nachtwache"" abgebildet?";34
"Kunst & Kultur";"Schwer";"In welchem Jahr wurde der Louvre in Paris als Museum eröffnet?";1793
"Kunst & Kultur";"Schwer";"Wie viele Stockwerke hat das Kolosseum in Rom?";4
"Kunst & Kultur";"Schwer";"Wie viele Steinskulpturen (Moai) gibt es auf der Osterinsel ungefähr?";900
"Kunst & Kultur";"Schwer";"Wie viele Terrakotta-Soldaten wurden in China ungefähr gefunden?";8000
"Kunst & Kultur";"Schwer";"Wie viele Jahre dauerte es, die Sixtinische Kapelle zu bemalen?";4
"Kunst & Kultur";"Schwer";"Wie viele Stile gibt es in der griechischen Säulenordnung?";3
"Kunst & Kultur";"Schwer";"Wie viele Filme hat Stanley Kubrick gedreht?";13
"Wirtschaft & Finanzen";"Leicht";"Wie viele Cent hat ein Euro?";100
"Wirtschaft & Finanzen";"Leicht";"Wie viele Nullen hat eine Million?";6
"Wirtschaft & Finanzen";"Leicht";"Wie viele Seiten hat ein Scheckbuch normalerweise?";25
"Wirtschaft & Finanzen";"Leicht";"Wie viele Ziffern hat eine PIN-Nummer normalerweise?";4
"Wirtschaft & Finanzen";"Leicht";"Wie viele Nullen hat eine Milliarde?";9
"Wirtschaft & Finanzen";"Leicht";"Wie viele Tage hat ein Quartal ungefähr?";90
"Wirtschaft & Finanzen";"Leicht";"Wie viele ""Rappen"" hat ein Schweizer Franken?";100
"Wirtschaft & Finanzen";"Leicht";"Wie viele ""Pence"" hat ein britisches Pfund?";100
"Wirtschaft & Finanzen";"Mittel";"Wie viele Unternehmen sind im DAX gelistet?";40
"Wirtschaft & Finanzen";"Mittel";"Wie viele Ziffern hat eine Kreditkartennummer normalerweise?";16
"Wirtschaft & Finanzen";"Mittel";"In welchem Jahr wurde der Euro als Bargeld eingeführt?";2002
"Wirtschaft & Finanzen";"Mittel";"Wie viele Banknoten-Werte gibt es beim Euro?";7
"Wirtschaft & Finanzen";"Mittel";"Wie viele Länder gehören zur Eurozone?";20
"Wirtschaft & Finanzen";"Mittel";"Wie viele Nullen hat eine Billion?";12
"Wirtschaft & Finanzen";"Mittel";"Wie viele Ziffern hat die Steuer-ID in Deutschland?";11
"Wirtschaft & Finanzen";"Mittel";"Wie viele Gründer hat Apple?";3
"Wirtschaft & Finanzen";"Schwer";"Wie viele Bitcoins wird es maximal geben (in Millionen)?";21
"Wirtschaft & Finanzen";"Schwer";"In welchem Jahr fand der ""Schwarze Freitag"" an der New Yorker Börse statt?";1929
"Wirtschaft & Finanzen";"Schwer";"Wie viele Länder sind Mitglieder der Welthandelsorganisation (WTO)?";164
"Wirtschaft & Finanzen";"Schwer";"Wie viele Ziffern hat die längste IBAN der Welt?";34
"Wirtschaft & Finanzen";"Schwer";"Wie viele Dollar kostete das erste Auto von Henry Ford?";850
"Wirtschaft & Finanzen";"Schwer";"Wie viele Jahre dauert es, bis sich eine Investition bei 7% Zinsen verdoppelt (72er-Regel)?";10
"Wirtschaft & Finanzen";"Schwer";"Wie viele Unternehmen sind im Dow Jones Industrial Average Index?";30
"Wirtschaft & Finanzen";"Schwer";"In welchem Jahr wurde die Weltbank gegründet?";1944
"Medizin & Körper";"Leicht";"Wie viele Zähne hat ein erwachsener Mensch normalerweise?";32
"Medizin & Körper";"Leicht";"Wie viele Lungenflügel hat ein Mensch?";2
"Medizin & Körper";"Leicht";"Wie viele Sinne hat der Mensch traditionell?";5
"Medizin & Körper";"Leicht";"Wie viele Nieren hat ein gesunder Mensch?";2
"Medizin & Körper";"Leicht";"Wie viele Kammern hat das menschliche Herz?";4
"Medizin & Körper";"Leicht";"Wie viele Arme hat ein Mensch?";2
"Medizin & Körper";"Leicht";"Wie viele Beine hat ein Mensch?";2
"Medizin & Körper";"Leicht";"Wie viele Augen hat ein Mensch?";2
"Medizin & Körper";"Leicht";"Wie viele Ohren hat ein Mensch?";2
"Medizin & Körper";"Mittel";"Wie viele Liter Blut hat ein erwachsener Mensch ungefähr?";5
"Medizin & Körper";"Mittel";"Wie viele Chromosomenpaare hat ein Mensch?";23
"Medizin & Körper";"Mittel";"Wie viele Stunden Schlaf braucht ein Erwachsener pro Nacht im Durchschnitt?";8
"Medizin & Körper";"Mittel";"Wie viele Rippenpaare hat ein Mensch?";12
"Medizin & Körper";"Mittel";"Wie viele Geschmacksrichtungen kann die Zunge unterscheiden?";5
"Medizin & Körper";"Mittel";"Wie viele Wirbel hat ein Giraffenhals?";7
"Medizin & Körper";"Mittel";"Wie viele Prozent des Körpers bestehen aus Wasser?";60
"Medizin & Körper";"Mittel";"Wie viele Kalorien braucht ein Mann pro Tag im Durchschnitt?";2500
"Medizin & Körper";"Mittel";"Wie viele Kalorien braucht eine Frau pro Tag im Durchschnitt?";2000
"Medizin & Körper";"Schwer";"Wie viele Nervenzellen hat das menschliche Gehirn (in Milliarden)?";86
"Medizin & Körper";"Schwer";"Wie viele Muskeln hat der menschliche Körper ungefähr?";650
"Medizin & Körper";"Schwer";"Wie viele Tage dauert eine durchschnittliche Schwangerschaft?";280
"Medizin & Körper";"Schwer";"Wie viele Kilometer lang sind alle Blutgefäße eines Menschen aneinandergereiht?";100000
"Medizin & Körper";"Schwer";"Wie viele Bakterien leben im menschlichen Körper (in Billionen)?";39
"Medizin & Körper";"Schwer";"Wie viele Male schlägt das Herz pro Tag ungefähr?";100000
"Medizin & Körper";"Schwer";"Wie viele verschiedene Arten von Zellen gibt es im menschlichen Körper?";200
"Medizin & Körper";"Schwer";"Wie viele Geschmacksknospen hat ein Mensch?";10000
"Automobile & Verkehr";"Leicht";"Wie viele Räder hat ein Auto?";4
"Automobile & Verkehr";"Leicht";"Wie viele Sitze hat ein typischer Kleinwagen?";5
"Automobile & Verkehr";"Leicht";"Wie viele Pedale hat ein Auto mit Automatikgetriebe?";2
"Automobile & Verkehr";"Leicht";"Wie viele Blinker hat ein Auto?";4
"Automobile & Verkehr";"Leicht";"Wie viele Türen hat eine Limousine typischerweise?";4
"Automobile & Verkehr";"Leicht";"Wie viele Gänge hat ein Fahrrad normalerweise?";21
"Automobile & Verkehr";"Leicht";"Wie viele Räder hat ein Motorrad?";2
"Automobile & Verkehr";"Leicht";"Wie viele Spiegel hat ein Auto?";3
"Automobile & Verkehr";"Leicht";"Wie viele Scheibenwischer hat ein Auto vorne?";2
"Automobile & Verkehr";"Mittel";"Wie viele Gänge hat ein typisches manuelles Schaltgetriebe?";6
"Automobile & Verkehr";"Mittel";"Wie viele PS hat ein VW Golf GTI (8. Generation)?";245
"Automobile & Verkehr";"Mittel";"In welchem Jahr baute Carl Benz das erste Automobil?";1886
"Automobile & Verkehr";"Mittel";"Wie viele Airbags hat ein modernes Auto ungefähr?";8
"Automobile & Verkehr";"Mittel";"Wie viele Zylinder hat ein typischer Kleinwagenmotor?";4
"Automobile & Verkehr";"Mittel";"Wie viele km/h darf man auf deutschen Autobahnen ohne Tempolimit fahren?";130
"Automobile & Verkehr";"Mittel";"Wie viele Ringe hat das Audi-Logo?";4
"Automobile & Verkehr";"Mittel";"Wie viele Sitze hat ein Doppeldeckerbus?";70
"Automobile & Verkehr";"Mittel";"Wie viele Propeller hat ein Hubschrauber?";2
"Automobile & Verkehr";"Schwer";"Wie viele km/h beträgt die Höchstgeschwindigkeit des Bugatti Chiron ungefähr?";420
"Automobile & Verkehr";"Schwer";"Wie viele Teile hat ein durchschnittliches Auto ungefähr?";30000
"Automobile & Verkehr";"Schwer";"Wie viele Meter lang ist ein Sattelzug in Deutschland maximal?";17
"Automobile & Verkehr";"Schwer";"Wie viele Exemplare des VW Käfers wurden gebaut (in Millionen)?";21
"Automobile & Verkehr";"Schwer";"Wie viele Umdrehungen pro Minute macht ein Formel-1-Motor maximal?";15000
"Automobile & Verkehr";"Schwer";"Wie viele Gänge hat ein LKW?";16
"Automobile & Verkehr";"Schwer";"Wie viele Speichen hat ein klassisches Wagenrad?";12
"Automobile & Verkehr";"Schwer";"Wie viele Knoten beträgt die Geschwindigkeit eines schnellen Schiffes?";30
"Architektur & Bauwerke";"Leicht";"Wie viele Türme hat das Brandenburger Tor?";1
"Architektur & Bauwerke";"Leicht";"Wie viele Stockwerke hat ein typisches Einfamilienhaus?";2
"Architektur & Bauwerke";"Leicht";"Wie viele Fenster hat ein Würfel?";6
"Architektur & Bauwerke";"Leicht";"Wie viele Seiten hat eine Pyramide?";5
"Architektur & Bauwerke";"Leicht";"Wie viele Türme hat die Tower Bridge in London?";2
"Architektur & Bauwerke";"Leicht";"Wie viele Etagen hat ein Bungalow?";1
"Architektur & Bauwerke";"Leicht";"Wie viele Eingänge hat ein Iglu?";1
"Architektur & Bauwerke";"Leicht";"Wie viele Säulen hat der Parthenon in Athen?";46
"Architektur & Bauwerke";"Leicht";"Wie viele Minarette hat die Hagia Sophia?";4
"Architektur & Bauwerke";"Mittel";"Wie viele Stufen hat der Kölner Dom?";533
"Architektur & Bauwerke";"Mittel";"Wie viele Meter hoch ist die Freiheitsstatue (ohne Sockel)?";46
"Architektur & Bauwerke";"Mittel";"In welchem Jahrhundert wurde der Schiefe Turm von Pisa fertiggestellt?";14
"Architektur & Bauwerke";"Mittel";"Wie viele Bögen hat das Brandenburger Tor?";5
"Architektur & Bauwerke";"Mittel";"Wie viele Sitzplätze hat das Kolosseum in Rom ungefähr?";50000
"Architektur & Bauwerke";"Mittel";"Wie viele Fenster hat das Empire State Building?";6500
"Architektur & Bauwerke";"Mittel";"Wie viele Brücken gibt es in Venedig?";400
"Architektur & Bauwerke";"Mittel";"Wie viele Meter hoch ist die Cheops-Pyramide?";139
"Architektur & Bauwerke";"Mittel";"Wie viele Stockwerke hat der Eiffelturm?";3
"Architektur & Bauwerke";"Schwer";"Wie viele Stockwerke hat das Burj Khalifa, das höchste Gebäude der Welt?";163
"Architektur & Bauwerke";"Schwer";"Wie viele Tonnen wiegt der Eiffelturm ungefähr?";10100
"Architektur & Bauwerke";"Schwer";"Wie viele Jahre dauerte der Bau der Chinesischen Mauer?";2000
"Architektur & Bauwerke";"Schwer";"Wie viele Räume hat der Buckingham Palace?";775
"Architektur & Bauwerke";"Schwer";"Wie viele Kilometer lang ist die Große Mauer in China?";21196
"Architektur & Bauwerke";"Schwer";"Wie viele Zimmer hat das Schloss Versailles?";2300
"Architektur & Bauwerke";"Schwer";"Wie viele Jahre dauerte der Bau des Kölner Doms?";632
"Architektur & Bauwerke";"Schwer";"Wie viele Tonnen wiegt die größte Glocke des Kölner Doms (Dicker Pitter)?";24
